order_id,customer_id,sku,order_date,channel,qty,order_value_inr,lot_code
VR881892,C100416,VA-EB-PL1,2024-06-15,Amazon,1,2374,PL1-2403-4
VR888221,C101629,VA-EB-PL1,2024-06-15,Flipkart,1,2124,PL1-2404-4
VR891729,C103223,VA-HP-ST2,2024-06-15,vireo.in,1,4999,ST2-2405-2
VR892522,C101577,VA-EB-PL1,2024-06-15,vireo.in,1,2499,PL1-2404-3
VR899359,C101975,VA-EB-PL1,2024-06-15,vireo.in,1,2374,PL1-2403-3
VR899472,C108058,VA-AC-CBL,2024-06-15,vireo.in,1,399,CBL-2403-3
VR899524,C100833,VA-EB-PL1,2024-06-15,vireo.in,1,2499,PL1-2405-2
VR883377,C102135,VA-EB-PL1,2024-06-16,Amazon,1,2374,PL1-2405-3
VR888779,C107703,VA-SP-ORB,2024-06-16,vireo.in,1,5999,ORB-2405-1
VR890374,C109013,VA-NB-ARC,2024-06-16,vireo.in,2,2338,ARC-2405-3
VR894872,C103739,VA-EB-PL1,2024-06-16,Amazon,1,2499,PL1-2404-3
VR895234,C100968,VA-EB-PL1,2024-06-16,Amazon,1,1999,PL1-2405-3
VR895595,C102043,VA-EB-PL1,2024-06-16,Flipkart,1,2499,PL1-2404-3
VR897475,C101926,VA-NB-ARC,2024-06-16,Amazon,1,1169,ARC-2405-2
VR907187,C104136,VA-NB-ARC,2024-06-16,Amazon,1,1104,ARC-2404-3
VR884695,C104674,VA-NB-ARC,2024-06-17,vireo.in,2,2598,ARC-2405-2
VR886495,C101119,VA-EB-PL1,2024-06-17,Amazon,1,2499,PL1-2405-4
VR887782,C105540,VA-EB-PL1,2024-06-17,Amazon,1,1999,PL1-2403-3
VR894363,C104470,VA-SP-ORB,2024-06-17,Amazon,1,5999,ORB-2403-3
VR906080,C105209,VA-SP-ORB,2024-06-17,vireo.in,1,4799,ORB-2403-3
VR906302,C108813,VA-EB-PL1,2024-06-17,Amazon,1,2249,PL1-2403-2
VR882787,C105483,VA-NB-ARC,2024-06-18,vireo.in,1,1169,ARC-2404-1
VR894074,C107757,VA-EB-PL1,2024-06-18,vireo.in,1,2499,PL1-2405-2
VR902019,C101207,VA-EB-PL1,2024-06-18,vireo.in,1,2374,PL1-2404-4
