category,Account & Login,App & Firmware,Audio Quality,Billing & Payments,Charging & Battery,Connectivity,Delivery & Shipping,Other,Product Enquiry,Returns & Refunds,Warranty & Repair,All
Account & Login,383,0,0,7,0,0,0,1,0,0,0,391
App & Firmware,32,555,0,0,46,58,0,0,0,0,8,699
Audio Quality,0,0,563,0,0,28,0,0,0,0,0,591
Billing & Payments,4,0,0,2311,0,0,87,45,4,113,0,2564
Charging & Battery,0,28,22,0,768,0,0,1,0,0,1,820
Connectivity,0,52,15,0,1,934,0,0,0,0,0,1002
Delivery & Shipping,0,0,0,2,0,0,1736,94,0,72,1,1905
Other,29,36,65,190,59,115,223,732,100,0,73,1622
Product Enquiry,0,0,0,15,0,1,0,0,596,0,0,612
Returns & Refunds,0,0,0,0,0,0,49,0,0,996,4,1049
Warranty & Repair,0,0,25,0,33,0,14,0,0,1,452,525
All,448,671,690,2525,907,1136,2109,873,700,1182,539,11780
