category,tickets,transfers,total_cost,volume_share_pct,avg_cost_per_ticket
Billing & Payments,2564,632.0,836440.0,21.765704584040748,326.22464898595945
Delivery & Shipping,1905,112.0,560290.0,16.171477079796265,294.11548556430444
Other,1622,113.0,472185.0,13.769100169779286,291.112823674476
Returns & Refunds,1049,46.0,304370.0,8.904923599320883,290.1525262154433
Connectivity,1002,106.0,308340.0,8.505942275042445,307.7245508982036
Charging & Battery,820,84.0,253180.0,6.960950764006792,308.7560975609756
App & Firmware,699,42.0,204910.0,5.933786078098472,293.14735336194565
Product Enquiry,612,45.0,182955.0,5.195246179966044,298.94607843137254
Audio Quality,591,52.0,181270.0,5.016977928692699,306.7174280879865
Warranty & Repair,525,43.0,158015.0,4.456706281833616,300.9809523809524
Account & Login,391,24.0,113410.0,3.3191850594227503,290.05115089514067
