month,tickets,total_cost,transfers
2024-06,3,680.0,0.0
2024-07,13,2930.0,0.0
2024-08,14,3040.0,0.0
2024-09,26,5810.0,0.0
2024-10,26,5860.0,0.0
2024-11,25,5250.0,0.0
2024-12,32,7020.0,0.0
2025-01,314,85430.0,0.0
2025-02,368,96980.0,0.0
2025-03,462,126460.0,0.0
2025-04,449,121800.0,0.0
2025-05,424,114720.0,0.0
2025-06,439,119560.0,0.0
2025-07,462,126120.0,0.0
2025-08,695,187010.0,0.0
2025-09,671,206875.0,75.0
2025-10,847,269425.0,145.0
2025-11,952,309205.0,175.0
2025-12,869,280900.0,162.0
2026-01,812,258225.0,119.0
2026-02,733,231000.0,114.0
2026-03,780,246605.0,131.0
2026-04,832,264280.0,132.0
2026-05,756,241875.0,113.0
2026-06,776,258305.0,133.0
