month,Account & Login,App & Firmware,Audio Quality,Billing & Payments,Charging & Battery,Connectivity,Delivery & Shipping,Other,Product Enquiry,Returns & Refunds,Warranty & Repair
2024-06,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,5.0,17.0,21.0,71.0,27.0,27.0,52.0,42.0,16.0,26.0,10.0
2025-02,17.0,20.0,19.0,76.0,19.0,18.0,69.0,52.0,30.0,33.0,15.0
2025-03,13.0,23.0,24.0,104.0,29.0,38.0,74.0,62.0,29.0,46.0,20.0
2025-04,15.0,22.0,18.0,104.0,34.0,31.0,77.0,58.0,24.0,44.0,22.0
2025-05,11.0,27.0,18.0,83.0,25.0,40.0,72.0,62.0,19.0,42.0,25.0
2025-06,17.0,26.0,23.0,98.0,18.0,40.0,80.0,60.0,19.0,42.0,16.0
2025-07,12.0,31.0,17.0,97.0,35.0,44.0,79.0,72.0,21.0,37.0,17.0
2025-08,27.0,39.0,32.0,162.0,46.0,54.0,122.0,84.0,29.0,75.0,25.0
2025-09,25.0,48.0,29.0,143.0,48.0,48.0,103.0,82.0,47.0,70.0,28.0
2025-10,22.0,53.0,38.0,198.0,35.0,58.0,148.0,113.0,54.0,85.0,43.0
2025-11,29.0,45.0,41.0,219.0,54.0,70.0,157.0,154.0,59.0,82.0,42.0
2025-12,31.0,56.0,54.0,170.0,67.0,81.0,136.0,114.0,38.0,82.0,40.0
2026-01,24.0,44.0,43.0,143.0,76.0,94.0,121.0,107.0,49.0,70.0,41.0
2026-02,29.0,54.0,32.0,148.0,46.0,72.0,117.0,109.0,34.0,58.0,34.0
2026-03,28.0,46.0,50.0,159.0,54.0,66.0,125.0,118.0,30.0,71.0,33.0
2026-04,24.0,57.0,39.0,178.0,69.0,89.0,122.0,119.0,37.0,60.0,38.0
2026-05,31.0,44.0,45.0,144.0,64.0,61.0,132.0,114.0,34.0,53.0,34.0
2026-06,31.0,47.0,48.0,128.0,74.0,71.0,119.0,100.0,43.0,73.0,42.0
