month,Billing,Chat Frontline,Email Frontline,Escalations & Warranty,Logistics,Returns Desk,Voice Frontline
2024-06,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,71.0,84.0,45.0,10.0,52.0,26.0,26.0
2025-02,76.0,95.0,57.0,15.0,69.0,33.0,23.0
2025-03,104.0,120.0,61.0,20.0,74.0,46.0,37.0
2025-04,104.0,101.0,74.0,22.0,77.0,44.0,27.0
2025-05,83.0,106.0,55.0,25.0,72.0,42.0,41.0
2025-06,98.0,102.0,66.0,16.0,80.0,42.0,35.0
2025-07,97.0,112.0,82.0,17.0,79.0,37.0,38.0
2025-08,162.0,180.0,87.0,25.0,122.0,75.0,44.0
2025-09,143.0,161.0,110.0,28.0,103.0,70.0,56.0
2025-10,198.0,207.0,120.0,43.0,148.0,85.0,46.0
2025-11,219.0,249.0,131.0,42.0,157.0,82.0,72.0
2025-12,170.0,220.0,166.0,40.0,136.0,82.0,55.0
2026-01,143.0,233.0,132.0,41.0,121.0,70.0,72.0
2026-02,148.0,198.0,125.0,34.0,117.0,58.0,53.0
2026-03,159.0,214.0,125.0,33.0,125.0,71.0,53.0
2026-04,178.0,237.0,126.0,38.0,122.0,60.0,71.0
2026-05,144.0,206.0,114.0,34.0,132.0,53.0,73.0
2026-06,128.0,205.0,131.0,42.0,119.0,73.0,78.0
